id,name,school_type,state,web_address,has_destinations,has_naplan
73468,Santa Maria College,Combined School - Catholic,N/A,www.santamaria.wa.edu.au,No,Yes
77090,Santa Sabina College,Combined School - Catholic,N/A,www.ssc.nsw.edu.au,Yes,Yes
74582,Southern Cross Catholic College,Combined School - Catholic,N/A,www.sccc.qld.edu.au,No,Yes
71770,Southern Cross Catholic School,Combined School - Catholic,N/A,www.sctsv.catholic.edu.au,No,Yes
72108,St Aloysius Catholic College,Combined School - Catholic,N/A,www.staloysius.tas.edu.au,Yes,Yes
71008,St Aloysius' College,Combined School - Catholic,N/A,www.staloysius.nsw.edu.au,Yes,Yes
70483,St Andrew's Catholic College,Combined School - Catholic,N/A,www.standrewscc.qld.edu.au,No,Yes
76616,St Anne's Central School,Combined School - Catholic,N/A,www.stannestemora.nsw.edu.au,Yes,Yes
69302,St Anne's College,Combined School - Catholic,N/A,https://www.sackialla.catholic.edu.au/,No,Yes
76137,St Anthony's Catholic College,Combined School - Catholic,N/A,www.sacc.catholic.edu.au,No,Yes
77193,St Augustine's College,Combined School - Catholic,N/A,www.sakyabram.catholic.edu.au,Yes,Yes
72702,St Augustine's College,Combined School - Catholic,N/A,www.stac.qld.edu.au,No,Yes
74111,St Augustine's College - Sydney,Combined School - Catholic,N/A,www.saintaug.nsw.edu.au,Yes,Yes
74122,St Barbara's Parish School,Combined School - Catholic,N/A,https://stbarbs.catholic.edu.au/,No,Yes
73794,St Brendan-Shaw College,Combined School - Catholic,N/A,www.sbsc.tas.edu.au,Yes,Yes
76978,St Brigid's College,Combined School - Catholic,N/A,www.sbcl.wa.edu.au,No,Yes
73544,St Catherine's Catholic College,Combined School - Catholic,N/A,www.singleton.catholic.edu.au,Yes,Yes
75838,St Catherine's Catholic College,Combined School - Catholic,N/A,www.prspne.catholic.edu.au,No,Yes
69920,St Charbel's College,Combined School - Catholic,N/A,www.stcharbel.nsw.edu.au,Yes,Yes
69518,St Columba College,Combined School - Catholic,N/A,www.stcolumba.com.au,No,Yes
77065,St Eugene College,Combined School - Catholic,N/A,www.steugene.qld.edu.au,No,Yes
68846,St Francis de Sales College,Combined School - Catholic,N/A,www.stfrancis.catholic.edu.au/home,No,Yes
69653,St Francis Xavier Catholic School,Combined School - Catholic,N/A,www.sfxnt.catholic.edu.au,No,Yes
69963,St Francis' College,Combined School - Catholic,N/A,www.sfcc.qld.edu.au,No,Yes
74312,St Gregory's College Campbeltown,Combined School - Catholic,N/A,www.stgregs.nsw.edu.au,Yes,Yes
72263,St Ignatius' College,Combined School - Catholic,N/A,www.ignatius.sa.edu.au,No,Yes
69056,St James' Catholic College,Combined School - Catholic,N/A,www.sjcc.tas.edu.au,Yes,Yes
70028,St John Bosco College,Combined School - Catholic,N/A,www.stjohnbosco.wa.edu.au,No,Yes
74523,St John the Envangelist Primary School,Combined School - Catholic,N/A,www.sjctdow.catholic.edu.au,Yes,Yes
73241,St John's School,Combined School - Catholic,N/A,www.roma.catholic.edu.au,No,Yes
70882,St Joseph's Catholic College,Combined School - Catholic,N/A,www.sjcckatherine.nt.edu.au,No,Yes
75409,St Joseph's Catholic School,Combined School - Catholic,N/A,www.sjctsv.catholic.edu.au,No,Yes
73617,St Joseph's Central School,Combined School - Catholic,N/A,https://www.oberon.nsw.gov.au/,Yes,Yes
73473,St Joseph's College,Combined School - Catholic,N/A,www.sjc.wa.edu.au/,Yes,Yes
69605,St Joseph's College,Combined School - Catholic,N/A,www.stjosephscoomera.qld.edu.au/Pages/default.aspx,No,Yes
74642,St Joseph's Nudgee College (Nudgee),Combined School - Catholic,N/A,www.nudgee.com,Yes,Yes
74462,St Joseph's School,Combined School - Catholic,N/A,www.sjspl.catholic.edu.au/,No,Yes
69753,St Joseph's School,Combined School - Catholic,N/A,www.stjosephs.qld.edu.au,Yes,Yes
71386,St Joseph's School,Combined School - Catholic,N/A,www.tara.catholic.edu.au/,No,Yes
72542,St Joseph's School,Combined School - Catholic,N/A,www.sjsnortham.wa.edu.au,No,Yes
70861,St Joseph’s College Gregory Terrace,Combined School - Catholic,N/A,www.terrace.qld.edu.au,Yes,Yes
70839,St Kevin's College,Combined School - Catholic,N/A,www.stkevins.vic.edu.au,Yes,Yes
76730,St Laurence's College,Combined School - Catholic,N/A,www.slc.qld.edu.au,No,Yes
86451,St Marcellin Catholic College,Combined School - Catholic,N/A, https://stmarcellin.wa.edu.au/,No,No
