organisation_id,name,org_type,state,suburb,postcode,latitude,longitude,sa2_code,sa2_name,sa3_code,sa3_name,lga_code,lga_name,median_rent_weekly,youth_pct,overseas_born_pct,seifa_irsad_score,seifa_irsad_decile,seifa_label,sunshine_hours_yr,car_jail_score,car_free_commute_pct,wfh_pct,pedal_path_pct,night_economy_pct,knowledge_worker_pct,student_bubble_pct,renter_republic_pct,vertical_city_pct,housing_stress_ratio,fresh_energy_pct,community_glue_pct,non_english_home_pct,global_mix_score,car_jail_score_norm,car_free_commute_pct_norm,wfh_pct_norm,pedal_path_pct_norm,night_economy_pct_norm,knowledge_worker_pct_norm,student_bubble_pct_norm,renter_republic_pct_norm,vertical_city_pct_norm,housing_stress_ratio_norm,fresh_energy_pct_norm,community_glue_pct_norm,global_mix_score_norm,qualification_density,grad_capture_rate,professional_job_pct,stem_field_pct,income_growth_signal,employment_rate,mortgage_stress_pct,qualification_density_norm,grad_capture_rate_norm,professional_job_pct_norm,stem_field_pct_norm,income_growth_signal_norm,employment_rate_norm,mortgage_stress_pct_norm,social_scene_score,food_scene_pct,entertainment_pct,healthcare_access_pct,education_hub_pct,retail_density_pct,civic_services_pct,knowledge_hub_pct,job_gravity_ratio,social_scene_score_norm,food_scene_pct_norm,entertainment_pct_norm,healthcare_access_pct_norm,education_hub_pct_norm,retail_density_pct_norm,civic_services_pct_norm,knowledge_hub_pct_norm,job_gravity_ratio_norm,uni_town_index,just_one_more_degree,low_income_youth_pct,sharehouse_capital,bank_of_mum_and_dad,peter_pan_index,adulting_score,dink_potential,singles_scene,first_job_energy,side_hustle_generation,promotion_pipeline,startup_dreamer_density,uni_town_index_norm,low_income_youth_pct_norm,sharehouse_capital_norm,first_job_energy_norm,side_hustle_generation_norm,promotion_pipeline_norm,startup_dreamer_density_norm,bank_of_mum_and_dad_norm,peter_pan_index_norm,adulting_score_norm,singles_scene_norm,dink_potential_norm,just_one_more_degree_norm,ramen_economy_score,ramen_economy_score_norm,delayed_adulting_score,delayed_adulting_score_norm,all_nighter_index,all_nighter_index_norm,rent_forever_index,rent_forever_index_norm,nightlife_index,nightlife_index_norm,digital_nomad_potential,digital_nomad_potential_norm,flat_white_density,flat_white_density_norm,global_youth_hub,global_youth_hub_norm
67470,Australian Capital College,Registered Training Organisation,ACT,CANBERRA,2601.0,-35.2801262,149.1253889,801051053,Civic,80105.0,North Canberra,89399.0,Unincorporated ACT,550.0,37.4,34.1,1165.0,10.0,Established & Affluent,1977.0,23.2,70.1,12.2,32.3,15.3,34.7,51.2,61.2,99.6,51.1,43.0,21.1,34.6,34.4,23.2,70.1,12.2,32.3,15.3,34.7,51.2,61.2,99.6,51.1,43.0,21.1,34.4,69.1,52.9,58.8,35.4,39.5,62.5,15.2,69.1,52.9,58.8,35.4,39.5,62.5,15.2,6.9,5.9,1.1,3.6,2.0,4.3,48.8,21.2,25.346,6.9,5.9,1.1,3.6,2.0,4.3,48.8,21.2,86.6,48.7,19.9,85.5,10.8,0.8,0.3,61.4,40.9,89.7,86.5,31.9,70.2,21.9,48.7,85.5,10.8,86.5,31.9,70.2,21.9,0.8,0.3,61.4,89.7,40.9,19.9,66.0,66.0,53.9,53.9,33.2,33.2,57.2,57.2,7.4,7.4,22.7,22.7,16.3,16.3,60.8,60.8
66486,Australian Capital Training Institute Pty Ltd,Registered Training Organisation,ACT,BRADDON,2612.0,-35.2748167,149.1315791,801051051,Braddon,80105.0,North Canberra,89399.0,Unincorporated ACT,495.0,18.3,22.1,1155.0,10.0,Established & Affluent,1977.0,17.2,60.9,11.4,27.6,8.5,32.1,30.5,60.4,80.7,32.7,37.3,20.8,21.0,21.6,17.2,60.9,11.4,27.6,8.5,32.1,30.5,60.4,80.7,32.7,37.3,20.8,21.6,77.6,63.4,65.9,34.2,51.9,77.9,13.5,77.6,63.4,65.9,34.2,51.9,77.9,13.5,23.3,21.0,2.3,12.6,6.0,4.3,11.3,22.5,1.914,23.3,21.0,2.3,12.6,6.0,4.3,11.3,22.5,49.4,23.9,36.0,43.7,27.8,0.6,0.3,65.8,45.3,86.7,95.7,21.7,69.3,21.0,23.9,43.7,27.8,95.7,21.7,69.3,21.0,0.6,0.3,65.8,86.7,45.3,36.0,44.9,44.9,58.3,58.3,19.5,19.5,48.4,48.4,10.6,10.6,22.0,22.0,21.5,21.5,19.3,19.3
12877,Australian Centre for Financial and Environmental Compliance Pty Ltd,Registered Training Organisation,ACT,LYNEHAM,2602.0,-35.252558,149.125497,801051057,Lyneham,80105.0,North Canberra,89399.0,Unincorporated ACT,425.0,13.7,19.0,1088.0,9.0,Established & Affluent,1977.0,11.3,48.3,11.1,11.8,9.9,36.4,21.4,48.7,36.6,35.4,25.6,22.4,18.2,18.6,11.3,48.3,11.1,11.8,9.9,36.4,21.4,48.7,36.6,35.4,25.6,22.4,18.6,70.9,63.5,56.0,33.5,41.1,66.3,16.6,70.9,63.5,56.0,33.5,41.1,66.3,16.6,20.5,10.8,9.7,20.7,19.1,4.3,5.8,12.2,1.206,20.5,10.8,9.7,20.7,19.1,4.3,5.8,12.2,42.7,16.5,25.7,45.0,24.2,2.3,1.1,62.7,44.9,82.0,94.9,31.5,58.0,20.2,16.5,45.0,24.2,94.9,31.5,58.0,20.2,2.3,1.1,62.7,82.0,44.9,25.7,38.4,38.4,51.6,51.6,15.6,15.6,37.8,37.8,10.1,10.1,19.9,19.9,14.4,14.4,12.4,12.4
11136,Australian College of Applied Business,Registered Training Organisation,ACT,CANBERRA,2601.0,-35.2761724,149.1278718,801051053,Civic,80105.0,North Canberra,89399.0,Unincorporated ACT,550.0,37.4,34.1,1165.0,10.0,Established & Affluent,1977.0,23.2,70.1,12.2,32.3,15.3,34.7,51.2,61.2,99.6,51.1,43.0,21.1,34.6,34.4,23.2,70.1,12.2,32.3,15.3,34.7,51.2,61.2,99.6,51.1,43.0,21.1,34.4,69.1,52.9,58.8,35.4,39.5,62.5,15.2,69.1,52.9,58.8,35.4,39.5,62.5,15.2,6.9,5.9,1.1,3.6,2.0,4.3,48.8,21.2,25.346,6.9,5.9,1.1,3.6,2.0,4.3,48.8,21.2,86.6,48.7,19.9,85.5,10.8,0.8,0.3,61.4,40.9,89.7,86.5,31.9,70.2,21.9,48.7,85.5,10.8,86.5,31.9,70.2,21.9,0.8,0.3,61.4,89.7,40.9,19.9,66.0,66.0,53.9,53.9,33.2,33.2,57.2,57.2,7.4,7.4,22.7,22.7,16.3,16.3,60.8,60.8
66671,Australian College of Pharmacy Limited,Registered Training Organisation,ACT,Fyshwick,2609.0,-35.3311655,149.181703,801061130,Fyshwick,80106.0,South Canberra,89399.0,Unincorporated ACT,323.0,13.5,0.0,,,,1977.0,0.0,50.0,27.3,0.0,0.0,0.0,0.0,36.4,0.0,53.9,40.4,15.1,0.0,0.0,0.0,50.0,27.3,0.0,0.0,0.0,0.0,36.4,0.0,53.9,40.4,15.1,0.0,16.7,100.0,59.1,38.9,0.0,39.6,,16.7,100.0,59.1,38.9,0.0,39.6,,4.2,3.4,0.8,1.9,1.9,16.7,8.8,13.0,1333.208,4.2,3.4,0.8,1.9,1.9,16.7,8.8,13.0,100.0,0.0,26.3,,0.0,0.0,0.0,50.0,28.6,55.0,,0.0,71.4,,0.0,,0.0,,0.0,71.4,,0.0,0.0,50.0,55.0,28.6,26.3,18.2,18.2,30.5,30.5,0.0,0.0,21.8,21.8,1.4,1.4,13.4,13.4,8.2,8.2,0.0,0.0
65787,Australian Federal Police College,Registered Training Organisation,ACT,Barton,2600.0,-35.310394,149.137953,801061129,Barton,80106.0,South Canberra,89399.0,Unincorporated ACT,525.0,8.6,14.8,1185.0,10.0,Established & Affluent,1977.0,5.2,59.7,12.3,29.8,3.9,28.7,10.1,47.5,90.9,29.6,27.8,19.2,12.1,13.4,5.2,59.7,12.3,29.8,3.9,28.7,10.1,47.5,90.9,29.6,27.8,19.2,13.4,72.7,59.1,71.2,26.8,60.7,68.4,23.3,72.7,59.1,71.2,26.8,60.7,68.4,23.3,3.1,3.0,0.1,2.3,4.2,0.3,65.2,14.9,22.422,3.1,3.0,0.1,2.3,4.2,0.3,65.2,14.9,84.9,6.3,28.4,6.7,13.4,2.5,1.2,64.0,39.8,86.8,98.1,10.0,74.9,16.3,6.3,6.7,13.4,98.1,10.0,74.9,16.3,2.5,1.2,64.0,86.8,39.8,28.4,21.4,21.4,49.2,49.2,7.0,7.0,32.5,32.5,2.3,2.3,18.6,18.6,11.4,11.4,6.1,6.1
10836,Australian Forensic Services Pty Ltd,Registered Training Organisation,ACT,DEAKIN,2600.0,-35.3153287,149.0975961,801061062,Deakin,80106.0,South Canberra,89399.0,Unincorporated ACT,560.0,12.3,16.1,1169.0,10.0,Established & Affluent,1977.0,6.7,36.4,15.0,6.1,7.9,41.4,12.4,21.3,13.9,35.5,15.8,25.8,14.2,15.2,6.7,36.4,15.0,6.1,7.9,41.4,12.4,21.3,13.9,35.5,15.8,25.8,15.2,73.5,65.7,66.0,29.2,57.9,59.3,53.7,73.5,65.7,66.0,29.2,57.9,59.3,53.7,5.7,2.1,3.6,37.0,11.4,0.8,8.2,19.0,8.076,5.7,2.1,3.6,37.0,11.4,0.8,8.2,19.0,70.1,10.3,11.6,36.0,12.5,10.8,5.5,54.4,47.2,78.0,94.2,30.6,66.4,22.6,10.3,36.0,12.5,94.2,30.6,66.4,22.6,10.8,5.5,54.4,78.0,47.2,11.6,23.2,23.2,37.3,37.3,10.2,10.2,17.7,17.7,4.5,4.5,25.1,25.1,14.6,14.6,9.4,9.4
67047,Australian Fraud and Anti-Corruption Academy Pty Ltd,Registered Training Organisation,ACT,LYONS,2606.0,-35.3413344,149.0741558,801091105,Lyons (ACT),80109.0,Woden Valley,89399.0,Unincorporated ACT,360.0,11.2,17.9,1067.0,8.0,Up-and-Coming,1977.0,11.2,38.6,9.8,6.9,8.8,33.4,11.3,42.4,28.0,32.8,19.1,19.3,21.7,19.8,11.2,38.6,9.8,6.9,8.8,33.4,11.3,42.4,28.0,32.8,19.1,19.3,19.8,63.2,65.3,46.6,35.9,35.3,64.0,34.6,63.2,65.3,46.6,35.9,35.3,64.0,34.6,3.3,1.4,1.9,9.3,27.4,8.8,4.7,20.0,0.237,3.3,1.4,1.9,9.3,27.4,8.8,4.7,20.0,19.2,9.2,20.1,44.9,9.3,5.3,2.4,66.0,55.2,56.7,90.9,34.3,40.1,8.9,9.2,44.9,9.3,90.9,34.3,40.1,8.9,5.3,2.4,66.0,56.7,55.2,20.1,32.9,32.9,36.1,36.1,10.0,10.0,30.0,30.0,4.0,4.0,21.1,21.1,10.1,10.1,9.6,9.6
66670,Australian Indigenous Leadership Centre Ltd,Registered Training Organisation,ACT,Canberra,2601.0,-35.2885583,149.0838851,801051123,Black Mountain,80105.0,North Canberra,89399.0,Unincorporated ACT,0.0,,,,,,1977.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,24.0,0.0,24.0,0.0,0.0,0.0,20.0,34.0,,24.0,0.0,24.0,0.0,0.0,0.0,20.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,34.0,34.0,17.0,17.0,,
12981,Australian Institute of Fitness Pty Ltd,Registered Training Organisation,ACT,PHILLIP,2606.0,-35.3383058,149.0856982,801091109,Phillip,80109.0,Woden Valley,89399.0,Unincorporated ACT,440.0,11.1,22.2,1085.0,9.0,Established & Affluent,1977.0,9.7,45.2,8.8,14.0,8.5,37.9,13.6,49.5,67.0,32.8,35.8,13.1,31.9,27.0,9.7,45.2,8.8,14.0,8.5,37.9,13.6,49.5,67.0,32.8,35.8,13.1,27.0,69.0,67.3,51.9,31.8,42.2,76.8,6.3,69.0,67.3,51.9,31.8,42.2,76.8,6.3,7.6,6.7,0.9,12.2,2.4,10.8,51.6,5.9,8.038,7.6,6.7,0.9,12.2,2.4,10.8,51.6,5.9,70.1,9.6,34.3,20.1,10.9,1.6,0.8,75.8,54.4,64.1,96.0,21.1,52.4,10.4,9.6,20.1,10.9,96.0,21.1,52.4,10.4,1.6,0.8,75.8,64.1,54.4,34.3,27.7,27.7,41.5,41.5,11.0,11.0,35.1,35.1,5.4,5.4,17.5,17.5,7.7,7.7,11.7,11.7
