organisation_id,name,org_type,state,suburb,postcode,latitude,longitude,sa2_code,sa2_name,sa3_code,sa3_name,lga_code,lga_name
12429,Centre of Professional Learning and Education,Registered Training Organisation,ACT,GREENWAY,2900.0,-35.4152061,149.0694707,801071080,Greenway,80107,Tuggeranong,89399,Unincorporated ACT
86341,Certitude Education Pty Ltd,Registered Training Organisation,ACT,Canberra,2601.0,-35.2774,149.1282,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
85016,CHAGOYA INSTITUTE,Registered Training Organisation,ACT,DICKSON,2602.0,-35.2491452,149.1345968,801051054,Dickson,80105,North Canberra,89399,Unincorporated ACT
66952,Climb High Training,Registered Training Organisation,ACT,Mckellar,2617.0,-35.2183664,149.0779443,801011021,McKellar,80101,Belconnen,89399,Unincorporated ACT
429,College of Warehousing (Australia) Pty Ltd,Registered Training Organisation,ACT,MITCHELL,2911.0,-35.2109225,149.14211,801041045,Mitchell,80104,Gungahlin,89399,Unincorporated ACT
85362,Core Training Pty Ltd,Registered Training Organisation,ACT,GREENWAY,2900.0,-35.4164020162,149.066912997,801071080,Greenway,80107,Tuggeranong,89399,Unincorporated ACT
67888,Creative Safety Initiatives,Registered Training Organisation,ACT,DICKSON,2602.0,-35.2516175,149.1375122,801051054,Dickson,80105,North Canberra,89399,Unincorporated ACT
66678,Diverse Training Concepts,Registered Training Organisation,ACT,PHILLIP,2606.0,-35.3516111,149.0890891,801091109,Phillip,80109,Woden Valley,89399,Unincorporated ACT
65804,Elleebana School of Beauty Therapy,Registered Training Organisation,ACT,Phillip,2606.0,-35.3501909,149.0867925,801091109,Phillip,80109,Woden Valley,89399,Unincorporated ACT
86046,Fennek Group Pty Ltd,Registered Training Organisation,ACT,HACKETT,2602.0,-35.2555,149.1626,801051056,Hackett,80105,North Canberra,89399,Unincorporated ACT
68086,Glenhill college,Registered Training Organisation,ACT,CANBERRA,2601.0,-35.276301,149.129034,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
66340,Global Energy Training Solutions,Registered Training Organisation,ACT,MITCHELL,2911.0,-35.2190815,149.1435272,801041045,Mitchell,80104,Gungahlin,89399,Unincorporated ACT
18110,Hand to Hand Academy Pty Ltd,Other,ACT,,,-35.4734679,149.0123679,801111140,ACT - South West,80111,Uriarra - Namadgi,89399,Unincorporated ACT
66617,Interaction Consulting Group,Registered Training Organisation,ACT,Phillip,2606.0,-35.3543069,149.0893656,801091109,Phillip,80109,Woden Valley,89399,Unincorporated ACT
67811,International Centre For Complex Project Management Limited,Registered Training Organisation,ACT,Deakin,2600.0,-35.320525,149.0972971,801061062,Deakin,80106,South Canberra,89399,Unincorporated ACT
86325,Iris Trained Pty Ltd,Registered Training Organisation,ACT,Canberra,2601.0,-35.282954595,149.1344998636,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
85969,IVBT Pty Ltd,Registered Training Organisation,ACT,MITCHELL,2911.0,-35.21478409,149.1392040265,801041045,Mitchell,80104,Gungahlin,89399,Unincorporated ACT
18061,JB Hunter,Registered Training Organisation,ACT,CURTIN,2605.0,-35.3265896,149.0824074,801091100,Curtin,80109,Woden Valley,89399,Unincorporated ACT
12284,JCE Positive Outcomes Pty Ltd,Registered Training Organisation,ACT,SPENCE,2615.0,-35.1985526,149.0652618,801011025,Spence,80101,Belconnen,89399,Unincorporated ACT
66683,JP International College Pty Limited,Registered Training Organisation,ACT,Mawson,2607.0,-35.3657523,149.0937129,801091106,Mawson,80109,Woden Valley,89399,Unincorporated ACT
66666,Kellogg Brown & Root Pty Ltd,Registered Training Organisation,ACT,CANBERRA AIRPORT,2609.0,-35.2984001,149.1862974,801031114,Canberra Airport,80103,Canberra East,89399,Unincorporated ACT
66682,Key 2 Learning Pty Ltd,Registered Training Organisation,ACT,Watson,2602.0,-35.2401906,149.1499613,801051061,Watson,80105,North Canberra,89399,Unincorporated ACT
66676,Learning Options,Registered Training Organisation,ACT,KINGSTON,2604.0,-35.3143725,149.1462924,801061131,Kingston (ACT),80106,South Canberra,89399,Unincorporated ACT
18071,Learning People,Registered Training Organisation,ACT,,,-35.4734679,149.0123679,801111140,ACT - South West,80111,Uriarra - Namadgi,89399,Unincorporated ACT
67850,Lemke Timber Training,Registered Training Organisation,ACT,Fadden,2904.0,-35.4083687,149.1220029,801071076,Fadden,80107,Tuggeranong,89399,Unincorporated ACT
12662,Lifeline Australia Ltd,Registered Training Organisation,ACT,DEAKIN WEST,2600.0,-35.3171974,149.0958697,801061062,Deakin,80106,South Canberra,89399,Unincorporated ACT
67845,Loadwise Australia,Registered Training Organisation,ACT,Fyshwick,2609.0,-35.3255187,149.1817372,801061130,Fyshwick,80106,South Canberra,89399,Unincorporated ACT
86296,M2T Training Pty Ltd,Registered Training Organisation,ACT,Gungahlin,2912.0,-35.175512993,149.138989903,801041040,Gungahlin,80104,Gungahlin,89399,Unincorporated ACT
66674,MBA Group Training Limited,Registered Training Organisation,ACT,Fyshwick,2609.0,-35.3341107,149.1780576,801061130,Fyshwick,80106,South Canberra,89399,Unincorporated ACT
66680,McMillan Staff Development Pty Ltd,Registered Training Organisation,ACT,BELCONNEN,2617.0,-35.2367308,149.0709726,801011002,Belconnen,80101,Belconnen,89399,Unincorporated ACT
67344,Medicus College,Registered Training Organisation,ACT,CANBERRA,2601.0,-35.281097,149.1253093,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
66364,Migrant and Refugee Settlement Services of the ACT Inc. (MARSS),Registered Training Organisation,ACT,Canberra,2601.0,-35.2806739,149.1309509,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
68116,Opulence College Pty Ltd,Registered Training Organisation,ACT,CANBERRA,2601.0,-35.2761886,149.1277665,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
17124,Orbus3,Registered Training Organisation,ACT,FYSHWICK,2609.0,-35.326992,149.182473,801061130,Fyshwick,80106,South Canberra,89399,Unincorporated ACT
67081,Paladin Risk Management Services,Registered Training Organisation,ACT,Mitchell,2604.0,-35.2153024946,149.1408037113,801041045,Mitchell,80104,Gungahlin,89399,Unincorporated ACT
12667,PARASOL EMT Pty Limited,Registered Training Organisation,ACT,FYSHWICK,2609.0,-35.329313,149.176723,801061130,Fyshwick,80106,South Canberra,89399,Unincorporated ACT
67232,Quality Training in Construction,Registered Training Organisation,ACT,Gilmore,2905.0,-35.414865,149.1360871,801071077,Gilmore,80107,Tuggeranong,89399,Unincorporated ACT
12498,Quest Training Solutions,Registered Training Organisation,ACT,BELCONNEN,2617.0,-35.2379994,149.0689327,801011002,Belconnen,80101,Belconnen,89399,Unincorporated ACT
